name,email,address,amount,currency,country,note
Maria Santos,,GBBD47IF6LWK7P7MDEVSCWR7DPUWV3NY3DTQEVFL4NAT4AQH3ZLLFLA5,125.00,USDC,Philippines,Field coordinator stipend
Juan Reyes,,GAAZI4TCR3TY5OJHCTJC2A4QSY6CJWJH5IAJTGKIN2ER7LBNVKOCCWN,98.50,USDC,Philippines,Community health worker
Ana Lucía Fernández,,GCEZWKCA5VLDNRLN3RPRJMRZOX3Z6G5CHCGZL34FMHBT3TNWMY6MNZV,200.00,USDC,Colombia,NGO project lead
Carlos Mendoza,,GDQJUTQYK2MQX2CBBH97SGIY74YIBBEFKLZP6YM7DLQFBHQHVKEBVQA,75.00,USDC,Colombia,Data entry volunteer
Fatima Al-Hassan,,GBRPYHIL2CI3FNQ4BXLFMNDLFJUNPU2HY3ZMFSHONUCEOASW7QC7OX2H,150.00,USDC,Nigeria,Regional supervisor
Emeka Okafor,,GDEQEUUZMM77LNXUUQTKLRJDTK5NLVUASAPRQJXAKQUVB4XQSNPKZQN,110.00,USDC,Nigeria,Logistics coordinator
Amara Diallo,,GDMXNQBJMS3FYI4PFSYCCB4XODQMNMTKPQ5HIKOUWBOWX2MXLXBMQZE,85.00,USDC,Senegal,Community liaison
Moussa Traoré,,GCFONE23AB7Y6C5XTEWKZGA33WLQKZQXHQSXHQTXZLPBVMH7BDKZXBV,62.50,USDC,Mali,Field agent
Aiko Tanaka,,GAHY5IQVQZQHCGZFH2FKNBVMKB3JPVT6KGNMQXGEXDCMJ7LIQCQQXN,175.00,USDC,Japan,Research analyst
Hiroshi Yamamoto,,GBGDKCS4FENHBXUMKFSNKPJBQX3LNCLRCLFFPJCJDVL3DXFLNYNXGF,130.00,USDC,Japan,Program officer
Priya Sharma,,GDSB3JZDYKLYKWZ6NXKJD4BDIQZJZP6BLISAAQMBGLDHTKSKBWPKGTH,95.00,USDC,India,Data scientist
Rahul Patel,,GDVVBXIXA7BRTJBHTDNZJBCQJPYSRQXLQQ2NDLTWRWIVZR2G2PYJVDB,140.00,USDC,India,Backend engineer
Li Wei,,GAXUH5W6MRXHB5T4OQVQ2SXIQMXUQVRDKOPJEHV2X5I7VJTCQIHLBM,160.00,USDC,China,Supply chain analyst
Zhang Wei,,GBKZLPKHOJLMJKJNJNKJNKJLKHJLKJLHKJLHKJLHKJLHKJLHKJLHKJ,invalid_address,USDC,China,Should flag as invalid
Chen Jing,,GDOZVBMJXBKTM5SQHQE6KWBMHQTV9CZ7MZTXAEYQKIGAXCBDFBYMJ3,88.00,USDC,China,Operations manager
Sofia Eriksson,,GCEZQKCA5VLDNRLN3RPRJMRZOX3Z6G5CHCGZL34FMHBT3TNWMY6MN22,115.00,USDC,Sweden,UX researcher
Lars Andersson,,GAXUH5W6MRXHB5T4OQVQ2SXIQMXUQVRDKOPJEHV2X5I7VJTCQIHLZ2,92.00,USDC,Sweden,DevOps engineer
Emma Wilson,,GDMXNQBJMS3FYI4PFSYCCB4XODQMNMTKPQ5HIKOUWBOWX2MXLXBM999,78.00,USDC,UK,Communications lead
James Thompson,,GBGDKCS4FENHBXUMKFSNKPJBQX3LNCLRCLFFPJCJDVL3DXFLNYNX999,145.00,USDC,UK,Finance manager
Olivia Brown,olivia.brown@ngo-uk.org,,55.00,USDC,UK,Walletless — voucher
Mohammed Al-Farsi,,GDSB3JZDYKLYKWZ6NXKJD4BDIQZJZP6BLISAAQMBGLDHTKSKBWPKGT2,180.00,USDC,UAE,Project director
Fatimah Malik,,GDVVBXIXA7BRTJBHTDNZJBCQJPYSRQXLQQ2NDLTWRWIVZR2G2PYJ999,67.50,USDC,Pakistan,Community health worker
Amina Yusuf,amina.yusuf@aid-ke.org,,45.00,USDC,Kenya,Walletless — voucher
David Kimani,,GAXUH5W6MRXHB5T4OQVQ2SXIQMXUQVRDKOPJEHV2X5I7VJTCQIHLB3,103.00,USDC,Kenya,Field coordinator
Grace Wanjiku,,GCEZQKCA5VLDNRLN3RPRJMRZOX3Z6G5CHCGZL34FMHBT3TNWMY6MN33,89.00,USDC,Kenya,Social worker
Paulo Salave'a,,GBKZLPKHOJLMJKJNJNKJNKJLKHJLKJLHKJLHKJLHKJLHKJLHKJLHK2,72.00,USDC,Samoa,Aid distribution agent
